tau_code_units,ps
-1.200000000000000000e+02,-7.898543482799999538e+01
-1.199000000000000057e+02,-7.891961363231000348e+01
-1.197999999999999972e+02,-7.885379243661999737e+01
-1.197000000000000028e+02,-7.878797124093000548e+01
-1.195999999999999943e+02,-7.872215004523999937e+01
-1.195000000000000000e+02,-7.865632884955000748e+01
-1.194000000000000057e+02,-7.859050765386000137e+01
-1.192999999999999972e+02,-7.852468645816999526e+01
-1.192000000000000028e+02,-7.845886526248000337e+01
-1.190999999999999943e+02,-7.839304406678999726e+01
-1.190000000000000000e+02,-7.832722287110000536e+01
-1.189000000000000057e+02,-7.826140167540999926e+01
-1.187999999999999972e+02,-7.819558047971999315e+01
-1.187000000000000028e+02,-7.812975928403000125e+01
-1.185999999999999943e+02,-7.806393808833999515e+01
-1.185000000000000000e+02,-7.799811689265000325e+01
-1.184000000000000057e+02,-7.793229569696001136e+01
-1.182999999999999972e+02,-7.786647450127000525e+01
-1.182000000000000028e+02,-7.780065330557999914e+01
-1.180999999999999943e+02,-7.773483210988999303e+01
-1.180000000000000000e+02,-7.766901091420000114e+01
-1.179000000000000057e+02,-7.760318971851000924e+01
-1.177999999999999972e+02,-7.753736852282000314e+01
-1.177000000000000028e+02,-7.747154732712999703e+01
-1.175999999999999943e+02,-7.740572613143999092e+01
-1.175000000000000000e+02,-7.733990493574999903e+01
-1.174000000000000057e+02,-7.727408374006000713e+01
-1.172999999999999972e+02,-7.720826254437000102e+01
-1.172000000000000028e+02,-7.714244134868000913e+01
-1.170999999999999943e+02,-7.707662015299000302e+01
-1.170000000000000000e+02,-7.701079895729999691e+01
-1.169000000000000057e+02,-7.694497776161000502e+01
-1.167999999999999972e+02,-7.687915656591999891e+01
-1.167000000000000028e+02,-7.681333537023000702e+01
-1.165999999999999943e+02,-7.674751417454000091e+01
-1.165000000000000000e+02,-7.668169297884999480e+01
-1.164000000000000057e+02,-7.661587178316000291e+01
-1.162999999999999972e+02,-7.655005058746999680e+01
-1.162000000000000028e+02,-7.648422939178000490e+01
-1.160999999999999943e+02,-7.641840819608999880e+01
-1.160000000000000000e+02,-7.635258700040000690e+01
-1.159000000000000057e+02,-7.628676580471000079e+01
-1.157999999999999972e+02,-7.622094460901999469e+01
-1.157000000000000028e+02,-7.615512341333000279e+01
-1.155999999999999943e+02,-7.608930221763999668e+01
-1.155000000000000000e+02,-7.602348102195000479e+01
-1.154000000000000057e+02,-7.595765982625999868e+01
-1.152999999999999972e+02,-7.589183863056999257e+01
-1.152000000000000028e+02,-7.582601743488000068e+01
