t_code,t_ps,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.299800e+02,-8.555439e+01,-8.372121e-03,1.240056e-18,0.000000e+00,-1.381868e-06,-6.685236e-05,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299600e+02,-8.554123e+01,-8.372173e-03,1.484002e-18,0.000000e+00,-5.513570e-06,-1.333816e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299400e+02,-8.552806e+01,-8.372188e-03,1.915989e-18,0.000000e+00,-1.237082e-05,-1.994755e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299200e+02,-8.551490e+01,-8.372151e-03,6.318866e-19,0.000000e+00,-2.192481e-05,-2.650231e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299000e+02,-8.550173e+01,-8.372107e-03,1.041003e-18,0.000000e+00,-3.414226e-05,-3.299153e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298800e+02,-8.548857e+01,-8.372109e-03,-7.074843e-19,0.000000e+00,-4.898554e-05,-3.940449e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298600e+02,-8.547540e+01,-8.372158e-03,-1.324760e-18,0.000000e+00,-6.641275e-05,-4.573073e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298400e+02,-8.546224e+01,-8.372204e-03,9.723938e-19,0.000000e+00,-8.637786e-05,-5.195996e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298200e+02,-8.544908e+01,-8.372205e-03,3.255995e-18,0.000000e+00,-1.088308e-04,-5.808208e-04,9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298000e+02,-8.543591e+01,-8.372177e-03,5.720861e-18,0.000000e+00,-1.337174e-04,-6.408724e-04,9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297800e+02,-8.542275e+01,-8.372172e-03,6.485943e-18,0.000000e+00,-1.609798e-04,-6.996586e-04,9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297600e+02,-8.540958e+01,-8.372223e-03,6.190964e-18,0.000000e+00,-1.905564e-04,-7.570870e-04,9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297400e+02,-8.539642e+01,-8.372303e-03,8.182338e-18,0.000000e+00,-2.223820e-04,-8.130679e-04,9.999996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297200e+02,-8.538326e+01,-8.372363e-03,1.185168e-17,0.000000e+00,-2.563880e-04,-8.675145e-04,9.999996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297000e+02,-8.537009e+01,-8.372387e-03,1.063365e-17,0.000000e+00,-2.925024e-04,-9.203427e-04,9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296800e+02,-8.535693e+01,-8.372412e-03,1.100126e-17,0.000000e+00,-3.306501e-04,-9.714720e-04,9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296600e+02,-8.534376e+01,-8.372484e-03,1.254795e-17,0.000000e+00,-3.707531e-04,-1.020826e-03,9.999994e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296400e+02,-8.533060e+01,-8.372609e-03,1.174072e-17,0.000000e+00,-4.127303e-04,-1.068330e-03,9.999993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296200e+02,-8.531743e+01,-8.372746e-03,1.123208e-17,0.000000e+00,-4.564980e-04,-1.113916e-03,9.999993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296000e+02,-8.530427e+01,-8.372857e-03,1.059172e-17,0.000000e+00,-5.019701e-04,-1.157518e-03,9.999992e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295800e+02,-8.529111e+01,-8.372953e-03,1.091317e-17,0.000000e+00,-5.490579e-04,-1.199072e-03,9.999991e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
