t,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.299800e+02,-8.372121e-03,1.153659e-18,0.000000e+00,1.381868e-06,6.685236e-05,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299600e+02,-8.372173e-03,1.929541e-18,0.000000e+00,5.513570e-06,1.333816e-04,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299400e+02,-8.372187e-03,4.836558e-18,0.000000e+00,1.237082e-05,1.994755e-04,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299200e+02,-8.372147e-03,5.729331e-18,0.000000e+00,2.192481e-05,2.650231e-04,-1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299000e+02,-8.372097e-03,8.528775e-18,0.000000e+00,3.414226e-05,3.299152e-04,-9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298800e+02,-8.372091e-03,7.371728e-18,0.000000e+00,4.898553e-05,3.940447e-04,-9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298600e+02,-8.372128e-03,9.198778e-18,0.000000e+00,6.641273e-05,4.573069e-04,-9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298400e+02,-8.372155e-03,9.646011e-18,0.000000e+00,8.637781e-05,5.195989e-04,-9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298200e+02,-8.372129e-03,1.146713e-17,0.000000e+00,1.088307e-04,5.808196e-04,-9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298000e+02,-8.372064e-03,8.790508e-18,0.000000e+00,1.337172e-04,6.408704e-04,-9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297800e+02,-8.372012e-03,7.998532e-18,0.000000e+00,1.609795e-04,6.996556e-04,-9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297600e+02,-8.372003e-03,7.962110e-18,0.000000e+00,1.905560e-04,7.570825e-04,-9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297400e+02,-8.372008e-03,9.185225e-18,0.000000e+00,2.223814e-04,8.130614e-04,-9.999996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297200e+02,-8.371977e-03,1.192961e-17,0.000000e+00,2.563870e-04,8.675054e-04,-9.999996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297000e+02,-8.371889e-03,1.088946e-17,0.000000e+00,2.925010e-04,9.203302e-04,-9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296800e+02,-8.371781e-03,1.222438e-17,0.000000e+00,3.306482e-04,9.714550e-04,-9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296600e+02,-8.371698e-03,1.231416e-17,0.000000e+00,3.707503e-04,1.020803e-03,-9.999994e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296400e+02,-8.371641e-03,1.298671e-17,0.000000e+00,4.127264e-04,1.068301e-03,-9.999993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296200e+02,-8.371568e-03,1.394894e-17,0.000000e+00,4.564928e-04,1.113879e-03,-9.999993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296000e+02,-8.371439e-03,1.327809e-17,0.000000e+00,5.019631e-04,1.157470e-03,-9.999992e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295800e+02,-8.371264e-03,1.164162e-17,0.000000e+00,5.490488e-04,1.199013e-03,-9.999991e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295600e+02,-8.371084e-03,1.264451e-17,0.000000e+00,5.976588e-04,1.238447e-03,-9.999990e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295400e+02,-8.370927e-03,1.093689e-17,0.000000e+00,6.477003e-04,1.275720e-03,-9.999989e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295200e+02,-8.370773e-03,1.285457e-17,0.000000e+00,6.990785e-04,1.310780e-03,-9.999989e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295000e+02,-8.370577e-03,1.109274e-17,0.000000e+00,7.516967e-04,1.343582e-03,-9.999988e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294800e+02,-8.370322e-03,1.080814e-17,0.000000e+00,8.054571e-04,1.374082e-03,-9.999987e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294600e+02,-8.370034e-03,1.265806e-17,0.000000e+00,8.602601e-04,1.402243e-03,-9.999986e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294400e+02,-8.369752e-03,1.297654e-17,0.000000e+00,9.160051e-04,1.428030e-03,-9.999985e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294200e+02,-8.369483e-03,1.229892e-17,0.000000e+00,9.725907e-04,1.451415e-03,-9.999984e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294000e+02,-8.369193e-03,1.241411e-17,0.000000e+00,1.029914e-03,1.472372e-03,-9.999983e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293800e+02,-8.368846e-03,1.338990e-17,0.000000e+00,1.087873e-03,1.490881e-03,-9.999982e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293600e+02,-8.368448e-03,1.553797e-17,0.000000e+00,1.146364e-03,1.506924e-03,-9.999981e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
