t_code_units,ps
-1.299799999999999898e+02,-8.555439015786198809e+01
-1.298799999999999955e+02,-8.548856896217199619e+01
-1.297800000000000011e+02,-8.542274776648200429e+01
-1.296800000000000068e+02,-8.535692657079199819e+01
-1.295800000000000125e+02,-8.529110537510200629e+01
-1.294799999999999898e+02,-8.522528417941200019e+01
-1.293799999999999955e+02,-8.515946298372199408e+01
-1.292800000000000011e+02,-8.509364178803200218e+01
-1.291800000000000068e+02,-8.502782059234201029e+01
-1.290800000000000125e+02,-8.496199939665200418e+01
-1.289799999999999898e+02,-8.489617820096199807e+01
-1.288799999999999955e+02,-8.483035700527199197e+01
-1.287800000000000011e+02,-8.476453580958200007e+01
-1.286800000000000068e+02,-8.469871461389200817e+01
-1.285800000000000125e+02,-8.463289341820200207e+01
-1.284799999999999898e+02,-8.456707222251199596e+01
-1.283799999999999955e+02,-8.450125102682200406e+01
-1.282800000000000011e+02,-8.443542983113199796e+01
-1.281800000000000068e+02,-8.436960863544200606e+01
-1.280800000000000125e+02,-8.430378743975201417e+01
-1.279800000000000040e+02,-8.423796624406200806e+01
-1.278799999999999955e+02,-8.417214504837200195e+01
-1.277800000000000011e+02,-8.410632385268199585e+01
-1.276800000000000068e+02,-8.404050265699200395e+01
-1.275799999999999983e+02,-8.397468146130199784e+01
-1.274800000000000040e+02,-8.390886026561200595e+01
-1.273799999999999955e+02,-8.384303906992199984e+01
-1.272800000000000011e+02,-8.377721787423200794e+01
-1.271800000000000068e+02,-8.371139667854200184e+01
-1.270799999999999983e+02,-8.364557548285199573e+01
-1.269800000000000040e+02,-8.357975428716200383e+01
-1.268799999999999955e+02,-8.351393309147199773e+01
-1.267800000000000011e+02,-8.344811189578200583e+01
-1.266800000000000068e+02,-8.338229070009199972e+01
-1.265799999999999983e+02,-8.331646950440199362e+01
-1.264800000000000040e+02,-8.325064830871200172e+01
-1.263799999999999955e+02,-8.318482711302199561e+01
-1.262800000000000011e+02,-8.311900591733200372e+01
-1.261800000000000068e+02,-8.305318472164201182e+01
-1.260799999999999983e+02,-8.298736352595200572e+01
-1.259800000000000040e+02,-8.292154233026199961e+01
-1.258799999999999955e+02,-8.285572113457199350e+01
-1.257800000000000011e+02,-8.278989993888200161e+01
-1.256800000000000068e+02,-8.272407874319200971e+01
-1.255799999999999983e+02,-8.265825754750200360e+01
-1.254800000000000040e+02,-8.259243635181199750e+01
-1.253799999999999955e+02,-8.252661515612199139e+01
-1.252800000000000011e+02,-8.246079396043199949e+01
