t_code_units,ps
-1.299799999999999898e+02,-8.555439015786198809e+01
-1.299600000000000080e+02,-8.554122591872400960e+01
-1.299399999999999977e+02,-8.552806167958600270e+01
-1.299199999999999875e+02,-8.551489744044799579e+01
-1.299000000000000057e+02,-8.550173320131000310e+01
-1.298799999999999955e+02,-8.548856896217199619e+01
-1.298600000000000136e+02,-8.547540472303400350e+01
-1.298400000000000034e+02,-8.546224048389599659e+01
-1.298199999999999932e+02,-8.544907624475798968e+01
-1.298000000000000114e+02,-8.543591200562001120e+01
-1.297800000000000011e+02,-8.542274776648200429e+01
-1.297599999999999909e+02,-8.540958352734399739e+01
-1.297400000000000091e+02,-8.539641928820600469e+01
-1.297199999999999989e+02,-8.538325504906799779e+01
-1.296999999999999886e+02,-8.537009080992999088e+01
-1.296800000000000068e+02,-8.535692657079199819e+01
-1.296599999999999966e+02,-8.534376233165400549e+01
-1.296399999999999864e+02,-8.533059809251599859e+01
-1.296200000000000045e+02,-8.531743385337800589e+01
-1.295999999999999943e+02,-8.530426961423999899e+01
-1.295800000000000125e+02,-8.529110537510200629e+01
-1.295600000000000023e+02,-8.527794113596399939e+01
-1.295399999999999920e+02,-8.526477689682599248e+01
-1.295200000000000102e+02,-8.525161265768801400e+01
-1.295000000000000000e+02,-8.523844841855000709e+01
-1.294799999999999898e+02,-8.522528417941200019e+01
-1.294600000000000080e+02,-8.521211994027400749e+01
-1.294399999999999977e+02,-8.519895570113600058e+01
-1.294199999999999875e+02,-8.518579146199799368e+01
-1.294000000000000057e+02,-8.517262722286000098e+01
-1.293799999999999955e+02,-8.515946298372199408e+01
-1.293600000000000136e+02,-8.514629874458401559e+01
-1.293400000000000034e+02,-8.513313450544600869e+01
-1.293199999999999932e+02,-8.511997026630800178e+01
-1.293000000000000114e+02,-8.510680602717000909e+01
-1.292800000000000011e+02,-8.509364178803200218e+01
-1.292599999999999909e+02,-8.508047754889399528e+01
-1.292400000000000091e+02,-8.506731330975600258e+01
-1.292199999999999989e+02,-8.505414907061799568e+01
-1.291999999999999886e+02,-8.504098483147998877e+01
