tau_code_units,ps
-1.200000000000000000e+02,-7.898543482799999538e+01
-1.197999999999999972e+02,-7.885379243661999737e+01
-1.195999999999999943e+02,-7.872215004523999937e+01
-1.194000000000000057e+02,-7.859050765386000137e+01
-1.192000000000000028e+02,-7.845886526248000337e+01
-1.190000000000000000e+02,-7.832722287110000536e+01
-1.187999999999999972e+02,-7.819558047971999315e+01
-1.185999999999999943e+02,-7.806393808833999515e+01
-1.184000000000000057e+02,-7.793229569696001136e+01
-1.182000000000000028e+02,-7.780065330557999914e+01
-1.180000000000000000e+02,-7.766901091420000114e+01
-1.177999999999999972e+02,-7.753736852282000314e+01
-1.175999999999999943e+02,-7.740572613143999092e+01
-1.174000000000000057e+02,-7.727408374006000713e+01
-1.172000000000000028e+02,-7.714244134868000913e+01
-1.170000000000000000e+02,-7.701079895729999691e+01
-1.167999999999999972e+02,-7.687915656591999891e+01
-1.165999999999999943e+02,-7.674751417454000091e+01
-1.164000000000000057e+02,-7.661587178316000291e+01
-1.162000000000000028e+02,-7.648422939178000490e+01
-1.160000000000000000e+02,-7.635258700040000690e+01
-1.157999999999999972e+02,-7.622094460901999469e+01
-1.155999999999999943e+02,-7.608930221763999668e+01
-1.154000000000000057e+02,-7.595765982625999868e+01
-1.152000000000000028e+02,-7.582601743488000068e+01
-1.150000000000000000e+02,-7.569437504350000268e+01
-1.147999999999999972e+02,-7.556273265212000467e+01
-1.145999999999999943e+02,-7.543109026073999246e+01
-1.144000000000000057e+02,-7.529944786936000867e+01
-1.142000000000000028e+02,-7.516780547797999645e+01
-1.140000000000000000e+02,-7.503616308659999845e+01
-1.137999999999999972e+02,-7.490452069522000045e+01
-1.135999999999999943e+02,-7.477287830384000245e+01
-1.134000000000000057e+02,-7.464123591246000444e+01
-1.132000000000000028e+02,-7.450959352108000644e+01
-1.130000000000000000e+02,-7.437795112969999423e+01
-1.127999999999999972e+02,-7.424630873831999622e+01
-1.125999999999999943e+02,-7.411466634693999822e+01
-1.124000000000000057e+02,-7.398302395556000022e+01
-1.122000000000000028e+02,-7.385138156418000221e+01
-1.120000000000000000e+02,-7.371973917280000421e+01
-1.117999999999999972e+02,-7.358809678141999200e+01
-1.115999999999999943e+02,-7.345645439003999400e+01
-1.114000000000000057e+02,-7.332481199866001020e+01
-1.112000000000000028e+02,-7.319316960727999799e+01
-1.110000000000000000e+02,-7.306152721589999999e+01
-1.107999999999999972e+02,-7.292988482452000198e+01
-1.105999999999999943e+02,-7.279824243314000398e+01
-1.104000000000000057e+02,-7.266660004176000598e+01
-1.102000000000000028e+02,-7.253495765038000798e+01
-1.100000000000000000e+02,-7.240331525899999576e+01
-1.097999999999999972e+02,-7.227167286761999776e+01
-1.095999999999999943e+02,-7.214003047623999976e+01
-1.094000000000000057e+02,-7.200838808486000175e+01
-1.092000000000000028e+02,-7.187674569348000375e+01
-1.090000000000000000e+02,-7.174510330210000575e+01
-1.087999999999999972e+02,-7.161346091071999354e+01
-1.085999999999999943e+02,-7.148181851933999553e+01
-1.084000000000000057e+02,-7.135017612795999753e+01
-1.082000000000000028e+02,-7.121853373657999953e+01
-1.080000000000000000e+02,-7.108689134520000152e+01
-1.077999999999999972e+02,-7.095524895382000352e+01
-1.075999999999999943e+02,-7.082360656243999131e+01
-1.074000000000000057e+02,-7.069196417106000752e+01
-1.072000000000000028e+02,-7.056032177968000951e+01
-1.070000000000000000e+02,-7.042867938829999730e+01
-1.067999999999999972e+02,-7.029703699691999930e+01
-1.065999999999999943e+02,-7.016539460554000129e+01
-1.064000000000000057e+02,-7.003375221416000329e+01
-1.062000000000000028e+02,-6.990210982278000529e+01
-1.060000000000000000e+02,-6.977046743140000729e+01
-1.057999999999999972e+02,-6.963882504001999507e+01
-1.055999999999999943e+02,-6.950718264863999707e+01
-1.054000000000000057e+02,-6.937554025725999907e+01
-1.052000000000000028e+02,-6.924389786588000106e+01
-1.050000000000000000e+02,-6.911225547450000306e+01
-1.047999999999999972e+02,-6.898061308312000506e+01
-1.045999999999999943e+02,-6.884897069173999284e+01
-1.044000000000000057e+02,-6.871732830036000905e+01
-1.042000000000000028e+02,-6.858568590897999684e+01
-1.040000000000000000e+02,-6.845404351759999884e+01
-1.037999999999999972e+02,-6.832240112622000083e+01
-1.035999999999999943e+02,-6.819075873484000283e+01
-1.034000000000000057e+02,-6.805911634346000483e+01
-1.032000000000000028e+02,-6.792747395208000682e+01
-1.030000000000000000e+02,-6.779583156069999461e+01
-1.027999999999999972e+02,-6.766418916931999661e+01
-1.025999999999999943e+02,-6.753254677793999861e+01
-1.024000000000000057e+02,-6.740090438656000060e+01
-1.022000000000000028e+02,-6.726926199518000260e+01
-1.020000000000000000e+02,-6.713761960380000460e+01
-1.017999999999999972e+02,-6.700597721241999238e+01
-1.015999999999999943e+02,-6.687433482103999438e+01
-1.014000000000000057e+02,-6.674269242966001059e+01
-1.012000000000000028e+02,-6.661105003827999838e+01
-1.010000000000000000e+02,-6.647940764690000037e+01
-1.007999999999999972e+02,-6.634776525552000237e+01
-1.005999999999999943e+02,-6.621612286413999016e+01
-1.004000000000000057e+02,-6.608448047276000636e+01
-1.002000000000000028e+02,-6.595283808138000836e+01
-1.000000000000000000e+02,-6.582119568999999615e+01
-9.979999999999999716e+01,-6.568955329861999815e+01
-9.959999999999999432e+01,-6.555791090724000014e+01
-9.940000000000000568e+01,-6.542626851586000214e+01
-9.920000000000000284e+01,-6.529462612448000414e+01
-9.900000000000000000e+01,-6.516298373310000613e+01
-9.879999999999999716e+01,-6.503134134171999392e+01
-9.859999999999999432e+01,-6.489969895033999592e+01
-9.840000000000000568e+01,-6.476805655895999791e+01
-9.820000000000000284e+01,-6.463641416757999991e+01
-9.800000000000000000e+01,-6.450477177620000191e+01
-9.779999999999999716e+01,-6.437312938482000391e+01
-9.759999999999999432e+01,-6.424148699343999169e+01
-9.740000000000000568e+01,-6.410984460206000790e+01
-9.720000000000000284e+01,-6.397820221068000279e+01
-9.700000000000000000e+01,-6.384655981929999768e+01
-9.679999999999999716e+01,-6.371491742791999968e+01
-9.659999999999999432e+01,-6.358327503653999457e+01
-9.640000000000000568e+01,-6.345163264516000368e+01
-9.620000000000000284e+01,-6.331999025378000567e+01
-9.600000000000000000e+01,-6.318834786240000057e+01
-9.579999999999999716e+01,-6.305670547101999546e+01
-9.559999999999999432e+01,-6.292506307963999745e+01
-9.540000000000000568e+01,-6.279342068826000656e+01
-9.520000000000000284e+01,-6.266177829688000145e+01
-9.500000000000000000e+01,-6.253013590550000345e+01
-9.479999999999999716e+01,-6.239849351411999834e+01
