t_code,t_ps,Sx,Sy,Sz,l1,l2,l3,l4,l5,l6,l7,l8
-1.299800e+02,-8.555439e+01,-8.372121e-03,8.377156e-19,0.000000e+00,-1.381870e-06,-6.685236e-05,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299600e+02,-8.554123e+01,-8.372173e-03,3.132328e-18,0.000000e+00,-5.513601e-06,-1.333816e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299400e+02,-8.552806e+01,-8.372188e-03,2.949369e-18,0.000000e+00,-1.237093e-05,-1.994755e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299200e+02,-8.551490e+01,-8.372151e-03,1.756746e-18,0.000000e+00,-2.192500e-05,-2.650231e-04,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.299000e+02,-8.550173e+01,-8.372107e-03,1.668020e-18,0.000000e+00,-3.414250e-05,-3.299152e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298800e+02,-8.548857e+01,-8.372109e-03,1.744676e-18,0.000000e+00,-4.898578e-05,-3.940449e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298600e+02,-8.547540e+01,-8.372158e-03,2.968003e-18,0.000000e+00,-6.641305e-05,-4.573072e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298400e+02,-8.546224e+01,-8.372204e-03,3.149268e-18,0.000000e+00,-8.637833e-05,-5.195995e-04,9.999999e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298200e+02,-8.544908e+01,-8.372205e-03,5.348166e-18,0.000000e+00,-1.088315e-04,-5.808206e-04,9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.298000e+02,-8.543591e+01,-8.372177e-03,7.514029e-18,0.000000e+00,-1.337182e-04,-6.408721e-04,9.999998e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297800e+02,-8.542275e+01,-8.372172e-03,9.571261e-18,0.000000e+00,-1.609807e-04,-6.996583e-04,9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297600e+02,-8.540958e+01,-8.372223e-03,8.818036e-18,0.000000e+00,-1.905573e-04,-7.570866e-04,9.999997e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297400e+02,-8.539642e+01,-8.372303e-03,9.561308e-18,0.000000e+00,-2.223831e-04,-8.130675e-04,9.999996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297200e+02,-8.538326e+01,-8.372363e-03,1.112324e-17,0.000000e+00,-2.563894e-04,-8.675139e-04,9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.297000e+02,-8.537009e+01,-8.372387e-03,1.146840e-17,0.000000e+00,-2.925041e-04,-9.203420e-04,9.999995e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296800e+02,-8.535693e+01,-8.372412e-03,9.285175e-18,0.000000e+00,-3.306520e-04,-9.714711e-04,9.999994e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296600e+02,-8.534376e+01,-8.372484e-03,8.944668e-18,0.000000e+00,-3.707550e-04,-1.020825e-03,9.999993e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296400e+02,-8.533060e+01,-8.372609e-03,9.045888e-18,0.000000e+00,-4.127322e-04,-1.068329e-03,9.999992e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296200e+02,-8.531743e+01,-8.372746e-03,8.473718e-18,0.000000e+00,-4.565003e-04,-1.113915e-03,9.999991e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.296000e+02,-8.530427e+01,-8.372857e-03,9.836594e-18,0.000000e+00,-5.019727e-04,-1.157516e-03,9.999990e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295800e+02,-8.529111e+01,-8.372953e-03,1.116559e-17,0.000000e+00,-5.490608e-04,-1.199070e-03,9.999989e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295600e+02,-8.527794e+01,-8.373079e-03,1.042867e-17,0.000000e+00,-5.976736e-04,-1.238519e-03,9.999988e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295400e+02,-8.526478e+01,-8.373264e-03,1.329842e-17,0.000000e+00,-6.477185e-04,-1.275808e-03,9.999987e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295200e+02,-8.525161e+01,-8.373490e-03,1.313579e-17,0.000000e+00,-6.991008e-04,-1.310887e-03,9.999986e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.295000e+02,-8.523845e+01,-8.373713e-03,1.372363e-17,0.000000e+00,-7.517244e-04,-1.343710e-03,9.999985e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294800e+02,-8.522528e+01,-8.373917e-03,1.232264e-17,0.000000e+00,-8.054909e-04,-1.374235e-03,9.999984e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294600e+02,-8.521212e+01,-8.374132e-03,1.434196e-17,0.000000e+00,-8.603009e-04,-1.402424e-03,9.999982e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294400e+02,-8.519896e+01,-8.374397e-03,1.465706e-17,0.000000e+00,-9.160542e-04,-1.428244e-03,9.999981e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294200e+02,-8.518579e+01,-8.374719e-03,1.598521e-17,0.000000e+00,-9.726494e-04,-1.451665e-03,9.999980e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.294000e+02,-8.517263e+01,-8.375064e-03,1.538889e-17,0.000000e+00,-1.029985e-03,-1.472663e-03,9.999978e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293800e+02,-8.515946e+01,-8.375400e-03,1.500942e-17,0.000000e+00,-1.087957e-03,-1.491217e-03,9.999977e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293600e+02,-8.514630e+01,-8.375731e-03,1.725237e-17,0.000000e+00,-1.146462e-03,-1.507310e-03,9.999975e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293400e+02,-8.513313e+01,-8.376094e-03,1.604619e-17,0.000000e+00,-1.205398e-03,-1.520930e-03,9.999974e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293200e+02,-8.511997e+01,-8.376514e-03,1.601909e-17,0.000000e+00,-1.264659e-03,-1.532070e-03,9.999973e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.293000e+02,-8.510681e+01,-8.376978e-03,1.601231e-17,0.000000e+00,-1.324144e-03,-1.540727e-03,9.999971e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292800e+02,-8.509364e+01,-8.377449e-03,1.732691e-17,0.000000e+00,-1.383749e-03,-1.546901e-03,9.999969e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292600e+02,-8.508048e+01,-8.377908e-03,1.768605e-17,0.000000e+00,-1.443371e-03,-1.550597e-03,9.999968e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292400e+02,-8.506731e+01,-8.378378e-03,1.872959e-17,0.000000e+00,-1.502907e-03,-1.551826e-03,9.999966e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292200e+02,-8.505415e+01,-8.378892e-03,1.726592e-17,0.000000e+00,-1.562256e-03,-1.550599e-03,9.999964e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.292000e+02,-8.504098e+01,-8.379457e-03,1.581580e-17,0.000000e+00,-1.621318e-03,-1.546936e-03,9.999963e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291800e+02,-8.502782e+01,-8.380044e-03,1.730658e-17,0.000000e+00,-1.679994e-03,-1.540857e-03,9.999960e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291600e+02,-8.501466e+01,-8.380624e-03,1.913617e-17,0.000000e+00,-1.738186e-03,-1.532389e-03,9.999959e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
-1.291400e+02,-8.500149e+01,-8.381196e-03,1.905485e-17,0.000000e+00,-1.795796e-03,-1.521561e-03,9.999957e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.773503e-01
